Table 1
CPI for All Urban Consumers (CPI-U),,,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Series Id:,CUUR0000SETG01,,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,,
Series Title:,"Airline fares in U.S. city average, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,,
Item:,Airline fares,,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,,
Years:,1963 to 2022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1963,,,,,,,,,,,,23.7,,,
1964,,,,,,23.6,,,,,,23.7,23.7,,
1965,,,,,,23.8,,,,,,23.9,23.8,,
1966,,,23.9,,,23.8,,,23.8,,,23.8,23.8,,
1967,,,23.8,,,23.9,,,23.9,,,24.0,23.9,,
1968,,,24.3,,,24.5,,,24.5,,,24.5,24.4,,
1969,24.5,24.5,26.2,26.2,26.2,26.6,26.6,26.6,26.4,26.4,26.4,27.8,26.2,,
1970,27.8,27.8,27.9,27.9,27.9,27.9,27.9,27.9,29.0,29.0,29.0,29.1,28.3,,
1971,29.1,29.1,29.6,29.6,29.6,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.3,,
1972,31.0,31.0,31.0,31.0,31.0,30.9,30.9,30.9,31.5,31.5,31.5,31.6,31.1,,
1973,31.6,31.6,31.6,31.6,31.6,32.1,32.1,32.1,32.8,32.8,32.8,33.8,32.2,,
1974,33.8,33.8,33.8,33.8,33.8,35.4,35.4,35.4,35.4,35.4,35.4,36.8,34.9,,
1975,36.8,36.8,36.9,36.9,36.9,38.6,38.6,38.6,38.7,38.7,38.7,39.6,38.0,,
1976,39.6,39.6,40.2,40.2,40.2,41.4,41.4,41.4,42.4,42.5,42.5,42.5,41.1,,
1977,42.5,42.5,43.2,43.2,43.2,43.3,43.3,43.3,44.0,44.0,44.0,45.5,43.5,,
1978,45.7,45.7,45.8,45.9,45.8,45.7,45.4,45.3,45.3,45.3,45.4,45.1,45.5,,
1979,45.3,45.7,45.8,46.0,46.3,46.4,47.4,49.0,51.1,52.7,55.4,58.6,49.2,,
1980,60.0,61.0,62.1,63.1,64.5,65.8,66.1,69.2,74.1,75.2,76.9,78.2,68.0,,
1981,79.3,79.8,82.1,83.3,83.3,86.2,87.7,88.7,89.0,88.9,89.5,89.5,85.6,,
1982,89.7,90.6,90.5,91.4,92.9,94.6,94.9,95.0,97.8,98.8,98.3,97.7,94.4,,
1983,98.5,96.9,96.2,99.7,98.2,99.2,100.0,100.5,101.1,101.9,103.1,102.4,99.8,,
1984,102.8,102.6,102.5,102.7,104.1,105.6,107.5,108.5,107.5,108.3,108.8,109.0,105.8,,
1985,109.6,109.6,110.9,111.4,111.5,111.8,111.8,111.9,113.9,115.6,116.1,115.9,112.5,,
1986,116.3,115.8,115.0,115.4,116.1,116.8,117.3,117.0,117.2,117.3,119.0,122.0,117.1,,
